day,tick,v7_total,v7_pepper,v7_osmium,v8_total,v8_pepper,v8_osmium
-1,194000,14264,13354,910,15881,14971,910
-1,195000,14238,13364,874,15805,14931,874
-1,196000,14234,13398,836,15847,15011,836
-1,197000,14576,13456,1120,16211,15091,1120
-1,198000,14300,13436,864,15915,15051,864
-1,199000,14864,13776,1088,16819,15731,1088
-1,200000,14436,13636,800,16251,15451,800
-1,201000,14341,13541,800,16091,15291,800
-1,202000,14384,13616,768,16259,15491,768
-1,203000,14562,13826,736,16787,16051,736
-1,204000,14388,13684,704,16355,15651,704
-1,205000,14384,13680,704,16435,15731,704
-1,206000,14472,13768,704,16875,16171,704
-1,207000,14561,13724,837,16728,15891,837
-1,208000,14486,13719,767,16618,15851,767
-1,209000,14458,13744,714,16766,16051,714
-1,210000,14554,13770,784,16916,16131,784
-1,211000,14670,13763,907,16998,16091,907
-1,212000,14658,13826,832,17123,16291,832
-1,213000,14744,13912,832,17323,16491,832
-1,214000,14821,13989,832,17763,16931,832
-1,215000,14961,13919,1042,17573,16531,1042
-1,216000,14750,13933,817,17428,16611,817
-1,217000,14756,13947,809,17500,16691,809
-1,218000,14894,14005,890,17660,16771,890
-1,219000,14861,14029,832,17683,16851,832
-1,220000,14837,14005,832,17603,16771,832
-1,221000,14990,14135,855,17986,17131,855
-1,222000,15136,14289,847,18418,17571,847
-1,223000,14828,13981,847,17538,16691,847
-1,224000,15044,14177,867,18118,17251,867
-1,225000,15072,14205,867,18198,17331,867
-1,226000,15138,14233,906,18316,17411,906
-1,227000,15124,14261,863,18354,17491,863
-1,228000,15098,14247,851,18302,17451,851
-1,229000,15177,14317,860,18511,17651,860
-1,230000,15231,14373,858,18589,17731,858
-1,231000,15268,14408,860,18671,17811,860
-1,232000,15502,14643,860,19110,18251,860
-1,233000,15427,14567,860,18951,18091,860
-1,234000,15416,14551,865,18916,18051,865
-1,235000,15496,14631,865,19116,18251,865
-1,236000,15473,14615,858,19069,18211,858
-1,237000,15474,14647,826,19118,18291,826
-1,238000,15570,14703,868,19238,18371,868
-1,239000,15572,14727,845,19296,18451,845
-1,240000,15599,14751,848,19379,18531,848
-1,241000,15647,14775,872,19483,18611,872
-1,242000,15635,14763,872,19443,18571,872
-1,243000,15699,14839,860,19631,18771,860
-1,244000,15715,14855,860,19711,18851,860
-1,245000,15775,14901,874,19925,19051,874
-1,246000,15770,14877,893,19784,18891,893
-1,247000,15810,14907,902,19994,19091,902
-1,248000,15774,14919,855,20026,19171,855
-1,249000,15806,14913,893,20024,19131,893
-1,250000,16006,14961,1045,20496,19451,1045
-1,251000,15885,14973,912,20443,19531,912
-1,252000,15879,14967,912,20403,19491,912
-1,253000,15872,14979,893,20464,19571,893
-1,254000,15903,14991,912,20563,19651,912
-1,255000,15906,15003,903,20634,19731,903
-1,256000,15880,14997,883,20574,19691,883
-1,257000,15835,15009,826,20597,19771,826
-1,258000,16112,15039,1073,21044,19971,1073
-1,259000,15782,15051,731,20782,20051,731
-1,260000,15810,15079,731,20862,20131,731
-1,261000,15802,15071,731,20822,20091,731
-1,262000,15866,15135,731,21142,20411,731
-1,263000,16018,15127,891,21262,20371,891
-1,264000,16029,15138,891,21342,20451,891
-1,265000,16134,15151,983,21514,20531,983
-1,266000,16661,15218,1443,22054,20611,1443
-1,267000,16316,15356,960,22011,21051,960
-1,268000,16391,15296,1095,21866,20771,1095
-1,269000,16485,15354,1131,21982,20851,1131
-1,270000,16407,15384,1023,21954,20931,1023
-1,271000,16401,15414,987,21998,21011,987
-1,272000,16539,15444,1095,22186,21091,1095
-1,273000,16617,15486,1131,22302,21171,1131
-1,274000,16641,15519,1122,22373,21251,1122
-1,275000,16702,15580,1122,22453,21331,1122
-1,276000,16730,15608,1122,22533,21411,1122
-1,277000,16764,15594,1170,22541,21371,1170
-1,278000,16792,15664,1128,22699,21571,1128
-1,279000,16817,15710,1107,22758,21651,1107
-1,280000,16839,15732,1107,22838,21731,1107
-1,281000,16872,15754,1118,22928,21811,1118
-1,282000,16831,15743,1088,22859,21771,1088
-1,283000,16976,15798,1178,23149,21971,1178
-1,284000,16978,15820,1158,23209,22051,1158
-1,285000,16967,15809,1158,23169,22011,1158
-1,286000,17065,15897,1168,23499,22331,1168
-1,287000,17089,15921,1168,23459,22291,1168
-1,288000,16983,15805,1178,23149,21971,1178
-1,289000,17128,15964,1164,23495,22331,1164
-1,290000,17238,16056,1182,23713,22531,1182
-1,291000,17275,16093,1182,23793,22611,1182
-1,292000,17256,16074,1182,23753,22571,1182
-1,293000,17341,16167,1174,23945,22771,1174
-1,294000,17224,16046,1178,23549,22371,1178
-1,295000,17471,16291,1180,24111,22931,1180
-1,296000,17524,16326,1198,24209,23011,1198
-1,297000,17541,16361,1180,24271,23091,1180
-1,298000,17558,16396,1162,24333,23171,1162
-1,299000,17611,16431,1180,24431,23251,1180
-1,300000,17648,16466,1182,24513,23331,1182
-1,301000,17510,16326,1184,24195,23011,1184
-1,302000,17762,16576,1186,24677,23491,1186
-1,303000,17814,16619,1195,24766,23571,1195
-1,304000,17857,16662,1195,24846,23651,1195
-1,305000,17905,16705,1200,24931,23731,1200
-1,306000,18162,16967,1195,25366,24171,1195
-1,307000,17940,16754,1185,24956,23771,1185
-1,308000,18062,16889,1172,25144,23971,1172
-1,309000,18218,17028,1190,25361,24171,1190
-1,310000,18647,17470,1177,26028,24851,1177
-1,311000,18256,17054,1202,25414,24211,1202
-1,312000,18756,17650,1106,26117,25011,1106
-1,313000,18375,17218,1157,25528,24371,1157
-1,314000,18429,17272,1157,25608,24451,1157
-1,315000,18586,17407,1179,25830,24651,1179
-1,316000,18581,17380,1201,25812,24611,1201
-1,317000,18574,17434,1140,25831,24691,1140
-1,318000,18637,17488,1149,25920,24771,1149
-1,319000,18691,17542,1149,26000,24851,1149
-1,320000,18648,17515,1133,25944,24811,1133
-1,321000,18735,17650,1085,26096,25011,1085
-1,322000,18783,17704,1079,26170,25091,1079
-1,324000,18831,17822,1009,26260,25251,1009
-1,325000,18842,17798,1044,26255,25211,1044
-1,326000,18964,17920,1044,26455,25411,1044
-1,327000,19100,17969,1132,26622,25491,1132
-1,328000,18956,17962,994,26445,25451,994
-1,329000,18913,18101,812,26463,25651,812
-1,330000,18785,18085,700,26311,25611,700
-1,331000,18833,18213,620,26551,25931,620
-1,332000,19009,18389,620,26991,26371,620
-1,333000,18837,18217,620,26471,25851,620
-1,334000,19038,18298,740,26791,26051,740
-1,335000,19015,18315,700,26831,26131,700
-1,336000,19148,18328,820,26911,26091,820
-1,337000,18798,18338,460,26631,26171,460
-1,338000,19146,18366,780,27151,26371,780
-1,339000,19254,18394,860,27431,26571,860
-1,340000,19032,18372,660,27071,26411,660
-1,341000,19259,18399,860,27471,26611,860
-1,342000,19190,18410,780,27471,26691,780
-1,343000,18641,18421,220,26991,26771,220
-1,344000,19077,18377,700,27151,26451,700
-1,345000,19290,18510,780,27711,26931,780
-1,346000,19396,18496,900,27791,26891,900
-1,347000,19664,18564,1100,28191,27091,1100
-1,348000,19170,18550,620,27671,27051,620
-1,349000,19638,18618,1020,28271,27251,1020
-1,350000,19944,18604,1340,28551,27211,1340
-1,351000,19852,18672,1180,28591,27411,1180
-1,352000,19799,18699,1100,28591,27491,1100
-1,353000,20110,18770,1340,29031,27691,1340
-1,354000,20157,18817,1340,28991,27651,1340
-1,355000,20440,18900,1540,29391,27851,1540
-1,356000,20303,18883,1420,29231,27811,1420
